id;creation_date;delivery_date;status;client;restaurant;livreur
1;back-end PCI;calculating;Administrator Vermont Total;Loan deposit feed;Refined Organic;Bedfordshire cohesive Sausages
2;Incredible Markets customized;Rubber;calculate Frozen;payment mobile Vietnam;Optimized Rupiah mindshare;Tennessee
3;Berkshire technologies;Chicken Plastic EXE;yellow magenta Arizona;Virginia encompassing;Berkshire Forward Montana;Wooden
4;Outdoors methodologies convergence;virtual ivory monetize;deposit;microchip Macao;Borders leading-edge;quantify red cross-platform
5;Producer ADP;Ergonomic non-volatile Lithuania;Future Planner;Account;input;SMS Michigan core
6;Chair Maryland;Generic;Producer Switzerland auxiliary;deliver Bedfordshire Estates;Canada;mobile Assurance
7;pixel model;transmit capacitor;Consultant alarm Hat;even-keeled matrix real-time;Producer Wyoming;Lead
8;Configuration XML EXE;Fresh Profit-focused;index Loan;Checking function;XSS Japan;clear-thinking sky
9;Movies Ramp navigate;well-modulated;Designer best-of-breed;mobile;cross-platform;pixel Rubber
10;Plastic Avon;Mandatory;Cocos attitude;web-enabled Liaison Keyboard;teal;Island
